"Título","CNPJ","ENDEREÇO","MUNICÍPIO / UF","UNIDADE","INSC. MUNICIPAL","INSC. ESTADUAL","Anexos"
"FIRJAN","42.422.212/0022-31","Rua São Clemente, 213 - Parte - Botafogo - CEP: 22.260-007","Rio de Janeiro / RJ","Casa Firjan","1143879-2","Isento","1"
"SESI-RJ","03.851.171/0042-90","Av. Calógeras, 15 - Lojas A e B - Centro - CEP: 20.030-070","Rio de Janeiro / RJ","Sesi Cinelândia (Lojas A e B)","0440788-1","Isento","1"
"SESI-RJ","03.851.171/0058-58","Av. Conselheiro Julius Arp, 85 - Parte - Centro - CEP: 28.623-000","Nova Friburgo / RJ","Escola SESI Frimoda","1023677023-1","Isento","1"
"SESI-RJ","03.851.171/0059-39","Rua Pedro Lima Mendes, 490 - Parte - Aero Clube - CEP: 27.283-160","Volta Redonda / RJ","Escola SESI Volta Redonda","038581027","Isento","1"
"SENAI-RJ","03.848.688/0068-60","Rua São Francisco Xavier, nº 601 - parte - Maracanã. CEP: 20.550-011","Rio de Janeiro / RJ","IST Engenharia e Design Industrial","1517324-6","Isento","1"
"SENAI-RJ","03.848.688/0067-89","Rod RJ 140 - Lt 2 - Quadra A - Nova São Pedro. CEP:28.941-030","São Pedro da Aldeia / RJ","SENAI São Pedro da Aldeia",,"Isento","1"
"SESI-RJ","03.851.171/0061-53","Rod RJ 140 - Lt 2 - Quadra A - Parte - Nova São Pedro - CEP:28.941-030","São Pedro da Aldeia / RJ","SESI São Pedro da Aldeia","7182","Isento","1"
"SESI-RJ","03.851.171/0060-72","Rua Sarquis José Sarquis, 156 - Bl 3 parte - Jardim Jalisco","Resende / RJ","Escola SESI Resende","27233","Isento","1"
"SENAI-RJ","03.848.688/0071-65","Rua Fernando de Souza Barros 120 - Ilha do Fundão - Cidade Universitária - CEP:21.941-857","Rio de Janeiro","Instituto Senai de Inovação em Biossintéticos e Fibras",,"Isento","1"
"SENAI-RJ","03.848.688/0070-84","Praça Natividade Saldanha, 19 - Benfica/RJ. CEP: 20.911-210","Rio de Janeiro","Senai Benfica ","1544530-0","Isento","1"
"SENAI-RJ","03.848.688/0072-46","Rua Marques de Sapucaí, 200 - Salas 1103 e 1104 - Cidade Nova/RJ. CEP: 20.210-912","Rio de Janeiro ","Centro de Referência em TI - Firjan SENAI Sapucaí","1575892-9","Isento","1"
"SENAI-RJ","03.848.688/0069-40","Rua São Francisco Xavier, 601 - Maracanã - CEP: 20.550-011","Rio de Janeiro","Senai Vila Isabel","1533122-4","Isento","1"
"CEAJD","00.652.273.0001-10","Avenida Graça Aranha 1","Rio de Janeiro","Condomínio do Ed. Centro Empresarial Arthur João Donato",,,"1"
